Benchmark                        (distributionType)          (file)  (mapType)    (size)  Mode  Cnt            Score           Error  Units
c.g.r.a.string.LargeData.insert             SHUFFLE   SMALLWORDLIST   TREE_MAP       N/A  avgt    5      6102917.661 ±   1525144.862  ns/op
c.g.r.a.string.LargeData.insert             SHUFFLE  MEDIUMWORDLIST        ART       N/A  avgt    5    141063928.760 ±  58789819.896  ns/op
c.g.r.a.string.LargeData.insert             SHUFFLE  MEDIUMWORDLIST   TREE_MAP       N/A  avgt    5    159768222.514 ±   5373749.300  ns/op
c.g.r.a.string.LargeData.insert             SHUFFLE   LARGEWORDLIST        ART       N/A  avgt    5    411583570.667 ±  59079456.272  ns/op
c.g.r.a.string.LargeData.insert             SHUFFLE   LARGEWORDLIST   TREE_MAP       N/A  avgt    5    734147584.500 ±  63679868.777  ns/op
c.g.r.a.string.LargeData.insert             SHUFFLE           UUIDs        ART       N/A  avgt    5     23810935.779 ±   3579372.021  ns/op
c.g.r.a.string.LargeData.insert             SHUFFLE           UUIDs   TREE_MAP       N/A  avgt    5     52303742.003 ±   1929699.017  ns/op
c.g.r.a.string.LargeData.lookup             SHUFFLE   SMALLWORDLIST        ART       N/A  avgt    5      3372940.894 ±    564232.248  ns/op
c.g.r.a.string.LargeData.lookup             SHUFFLE   SMALLWORDLIST   TREE_MAP       N/A  avgt    5      4588328.735 ±     53690.268  ns/op
c.g.r.a.string.LargeData.lookup             SHUFFLE  MEDIUMWORDLIST        ART       N/A  avgt    5    117184110.756 ±   3175890.449  ns/op
c.g.r.a.string.LargeData.lookup             SHUFFLE  MEDIUMWORDLIST   TREE_MAP       N/A  avgt    5    154407463.400 ±   2450836.560  ns/op
c.g.r.a.string.LargeData.lookup             SHUFFLE   LARGEWORDLIST        ART       N/A  avgt    5    406712169.600 ±  81086558.084  ns/op
c.g.r.a.string.LargeData.lookup             SHUFFLE   LARGEWORDLIST   TREE_MAP       N/A  avgt    5    653310374.100 ±  18116583.917  ns/op
c.g.r.a.string.LargeData.lookup             SHUFFLE           UUIDs        ART       N/A  avgt    5     36265855.737 ±  10221996.401  ns/op
c.g.r.a.string.LargeData.lookup             SHUFFLE           UUIDs   TREE_MAP       N/A  avgt    5     52198016.550 ±    543792.039  ns/op
